source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
alpaca_easy,alpaca_hard,alpaca_hard,0.7906666666666666,0.6453333333333333,zero_shot,0.956,classify_lora,0.9133333333333333,0.29487554607246974,0.1520223152022315
arc_easy,arc_hard,arc_hard,0.7453333333333333,0.6253333333333333,zero_shot,0.848,classify_lora,0.876,0.3071318489110545,0.14150943396226415
math_easy,math_hard,math_hard,0.7853333333333333,0.7626666666666667,zero_shot,0.8466666666666667,mms,0.9413333333333334,0.3225845679079459,0.026771653543307024
code_easy,code_hard,code_hard,0.6893333333333334,0.744,zero_shot,0.944,classify_lora,0.9093333333333333,0.28268629289852854,-0.057909604519773984
ranking_logic_easy,ranking_logic_hard,ranking_logic_hard,0.5666666666666667,0.5906666666666667,zero_shot,0.9946666666666667,classify_lora,0.672,0.24698300973785237,-0.024128686327077768
raven_easy,raven_matrices,raven_matrices,0.648,0.724,zero_shot,0.9373333333333334,classify_lora,0.816,0.20361263651287714,-0.08108108108108103
alpaca_mmlu,spanish_input,spanish_input,0.7626666666666667,0.6866666666666666,zero_shot,0.8133333333333334,classify_lora,0.752,0.27899018686378163,0.09344262295081976
alpaca_mmlu,spanish_output,spanish_output,0.7013333333333334,0.6813333333333333,zero_shot,0.808,classify_lora,0.752,0.27771048373051577,0.024752475247524774
alpaca_mmlu,comma_separated_input,comma_separated_input,0.732,0.6533333333333333,zero_shot,0.848,classify_lora,0.752,0.2738256162764173,0.09276729559748427
alpaca_mmlu,comma_separated_output,comma_separated_output,0.7186666666666667,0.6933333333333334,zero_shot,0.864,classify_lora,0.752,0.2701619728667468,0.029320987654320972
alpaca_mmlu,ranking_logic,ranking_logic,0.512,0.62,zero_shot,0.9973333333333333,classify_lora,0.752,0.2788046967765927,-0.10828877005347592
alpaca_mmlu,raven_matrices,raven_matrices,0.604,0.7253333333333334,zero_shot,0.9373333333333334,classify_lora,0.752,0.26576581056322035,-0.12944523470839267
alpaca_mmlu,word_swap,word_swap,0.8426666666666667,0.7546666666666667,zero_shot,0.9373333333333334,classify_lora,0.752,0.30484896662649474,0.09388335704125174
code,counterfactual_python,counterfactual_python,0.6866666666666666,0.744,zero_shot,0.8666666666666667,classify_lora,0.8066666666666666,0.2745156752395569,-0.06615384615384617
code,us_history,us_history,0.8106666666666666,0.6746666666666666,zero_shot,0.956,classify_lora,0.8066666666666666,0.2727539320701375,0.14225941422594143
code,change_my_view,change_my_view,0.552,0.352,zero_shot,0.776,classify_lora,0.8066666666666666,0.16887580041966216,0.2577319587628867
cooking,math,math,0.5666666666666667,0.8013333333333333,zero_shot,0.868,classify_lora,0.884,0.28003267919802394,-0.27035330261136714
cooking,raven_matrices,raven_matrices,0.568,0.7253333333333334,zero_shot,0.9373333333333334,classify_lora,0.884,0.2867145909532464,-0.1678520625889048
math,change_my_view,change_my_view,0.516,0.352,zero_shot,0.776,classify_lora,0.8,0.2765940259586847,0.21134020618556704
math,cooking,cooking,0.7653333333333333,0.912,zero_shot,0.9693333333333334,classify_lora,0.8,0.2855496128477958,-0.15130674002751038
change_my_view,raven_matrices,raven_matrices,0.424,0.7253333333333334,zero_shot,0.9373333333333334,classify_lora,0.708,0.11965880695541953,-0.3214793741109531
change_my_view,cooking,cooking,0.4866666666666667,0.912,zero_shot,0.9693333333333334,classify_lora,0.708,0.12934171441750839,-0.4387895460797799
raven_matrices,us_history,us_history,0.756,0.6746666666666666,zero_shot,0.956,classify_lora,0.6853333333333333,0.11336799889822825,0.08507670850767089
raven_matrices,code,code,0.6626666666666666,0.9013333333333333,zero_shot,0.948,classify_lora,0.6853333333333333,0.10736339903852117,-0.2517580872011252
us_history,math,math,0.5746666666666667,0.8013333333333333,zero_shot,0.868,classify_lora,0.924,0.27172829450302166,-0.261136712749616
us_history,code,code,0.732,0.9013333333333333,zero_shot,0.948,classify_lora,0.924,0.2806113993648142,-0.17862165963431786
