source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
alpaca_easy,alpaca_hard,alpaca_hard,0.6466666666666666,0.6453333333333333,zero_shot,0.956,classify_lora,0.9666666666666667,0.49866666666666665,0.0013947001394699766
arc_easy,arc_hard,arc_hard,0.676,0.6253333333333333,zero_shot,0.848,classify_lora,0.9,0.49866666666666665,0.05974842767295607
math_easy,math_hard,math_hard,0.7893333333333333,0.7626666666666667,zero_shot,0.8466666666666667,mms,0.9786666666666667,0.49866666666666665,0.03149606299212592
code_easy,code_hard,code_hard,0.7373333333333333,0.744,zero_shot,0.944,classify_lora,0.972,0.49866666666666665,-0.007062146892655413
ranking_logic_easy,ranking_logic_hard,ranking_logic_hard,0.6026666666666667,0.5906666666666667,zero_shot,0.9946666666666667,classify_lora,0.706,0.49866666666666665,0.012064343163538884
raven_easy,raven_matrices,raven_matrices,0.7493333333333333,0.724,zero_shot,0.9373333333333334,classify_lora,0.8213333333333334,0.49866666666666665,0.02702702702702701
alpaca_mmlu,spanish_input,spanish_input,0.696,0.6866666666666666,zero_shot,0.8133333333333334,classify_lora,0.7253333333333334,0.49866666666666665,0.011475409836065539
alpaca_mmlu,spanish_output,spanish_output,0.6893333333333334,0.6813333333333333,zero_shot,0.808,classify_lora,0.7253333333333334,0.49866666666666665,0.00990099009900991
alpaca_mmlu,comma_separated_input,comma_separated_input,0.6666666666666666,0.6533333333333333,zero_shot,0.848,classify_lora,0.7253333333333334,0.49866666666666665,0.015723270440251545
alpaca_mmlu,comma_separated_output,comma_separated_output,0.6866666666666666,0.6933333333333334,zero_shot,0.864,classify_lora,0.7253333333333334,0.49866666666666665,-0.007716049382716099
alpaca_mmlu,ranking_logic,ranking_logic,0.5933333333333334,0.62,zero_shot,0.9973333333333333,classify_lora,0.7253333333333334,0.49866666666666665,-0.026737967914438453
alpaca_mmlu,raven_matrices,raven_matrices,0.752,0.7253333333333334,zero_shot,0.9373333333333334,classify_lora,0.7253333333333334,0.49866666666666665,0.028449502133712605
alpaca_mmlu,word_swap,word_swap,0.772,0.7546666666666667,zero_shot,0.9373333333333334,classify_lora,0.7253333333333334,0.49866666666666665,0.018492176386913205
code,counterfactual_python,counterfactual_python,0.7623066104078763,0.744,zero_shot,0.8666666666666667,classify_lora,0.9022222222222223,0.48945147679324896,0.021123012009088026
code,us_history,us_history,0.6775067750677507,0.6746666666666666,zero_shot,0.956,classify_lora,0.9022222222222223,0.494579945799458,0.0029708246873264258
code,change_my_view,change_my_view,0.3482142857142857,0.352,zero_shot,0.776,classify_lora,0.9022222222222223,0.4419642857142857,-0.004878497790868919
cooking,math,math,0.7986666666666666,0.8013333333333333,zero_shot,0.868,classify_lora,0.9333333333333333,0.49866666666666665,-0.003072196620583763
cooking,raven_matrices,raven_matrices,0.7586666666666667,0.7253333333333334,zero_shot,0.9373333333333334,classify_lora,0.9333333333333333,0.49866666666666665,0.035561877667140813
math,change_my_view,change_my_view,0.3493975903614458,0.352,zero_shot,0.776,classify_lora,0.8293333333333334,0.42971887550200805,-0.0033536206682399246
math,cooking,cooking,0.912,0.912,zero_shot,0.9693333333333334,classify_lora,0.8293333333333334,0.49866666666666665,0.0
change_my_view,raven_matrices,raven_matrices,0.7851239669421488,0.7253333333333334,zero_shot,0.9373333333333334,classify_lora,0.3793103448275862,0.4462809917355372,0.06378801594112599
change_my_view,cooking,cooking,0.9073170731707317,0.912,zero_shot,0.9693333333333334,classify_lora,0.3793103448275862,0.4975609756097561,-0.004831079947663305
raven_matrices,us_history,us_history,0.6940418679549114,0.6746666666666666,zero_shot,0.956,classify_lora,0.6757990867579908,0.49597423510466987,0.02026694695423093
