source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
us_history_textbook,us_history_fiction,us_history_fiction,0.992,0.7146666666666667,zero_shot,0.9986666666666667,classify_lora,0.996,0.49381129433819393,0.27770360480640854
alpaca_mmlu,spanish_output,spanish_output,0.7906666666666666,0.6813333333333333,zero_shot,0.808,classify_lora,0.8706666666666667,0.3251333345758011,0.13531353135313523
math,change_my_view,change_my_view,0.592,0.352,zero_shot,0.776,classify_lora,0.868,0.4752840590783749,0.3092783505154639
raven_matrices,us_history,us_history,0.764,0.6746666666666666,zero_shot,0.956,classify_lora,0.9373333333333334,0.31564682969297386,0.09344490934449098
code_easy,code_hard,code_hard,0.776,0.744,zero_shot,0.944,classify_lora,0.9653333333333334,0.312051659136098,0.0338983050847458
alpaca_easy,alpaca_hard,alpaca_hard,0.756,0.6453333333333333,zero_shot,0.956,classify_lora,0.9746666666666667,0.3121684472001451,0.11576011157601118
alpaca_mmlu,raven_matrices,raven_matrices,0.6293333333333333,0.7253333333333334,zero_shot,0.9373333333333334,classify_lora,0.8706666666666667,0.3159598021131641,-0.10241820768136567
alpaca_mmlu,ranking_logic,ranking_logic,0.6266666666666667,0.62,zero_shot,0.9973333333333333,classify_lora,0.8706666666666667,0.31832058949815695,0.006684491978609669
alpaca_low_quality,alpaca_high_quality,alpaca_high_quality,0.196,0.112,zero_shot,0.9653333333333334,classify_lora,1.0,0.32892631775317926,0.08701657458563536
alpaca_short,alpaca_long,alpaca_mmlu,0.068,0.04,zero_shot,0.8706666666666667,classify_lora,0.992,0.49209068694871183,0.03215926493108729
alpaca_mmlu,wrong_arc,wrong_arc,0.1,0.164,zero_shot,0.932,mms,0.8706666666666667,0.4895993924536632,-0.06866952789699571
alpaca_mmlu,truthful_qa,truthful_qa,0.5386666666666666,0.38133333333333336,zero_shot,0.928,classify_lora,0.8706666666666667,0.33228382410871454,0.1695402298850574
alpaca_mmlu,sycophancy_mimicry,quote_attribution,0.352,0.468,zero_shot,0.936,classify_lora,0.8706666666666667,0.48543235574695853,-0.12393162393162398
alpaca_mmlu,survival_influence,survival_influence,0.388,0.328,zero_shot,1.0,mms,0.8706666666666667,0.47320705385080714,0.06
alpaca_mmlu,reward_seeking,reward_seeking,0.496,0.5026666666666667,zero_shot,0.9946666666666667,classify_lora,0.8706666666666667,0.3224082900057355,-0.00670241286863275
