source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
us_history_textbook,us_history_fiction,us_history_fiction,0.574,0.7146666666666667,zero_shot,0.9973333333333333,classify_lora,0.53,,-0.14104278074866317
alpaca_mmlu,spanish_output,spanish_output,0.504,0.6746666666666666,zero_shot,0.836,classify_lora,0.508,,-0.2041467304625199
math,change_my_view,change_my_view,0.53,0.352,zero_shot,0.764,prompt_tuning,0.518,,0.23298429319371733
raven_matrices,us_history,us_history,0.64,0.668,zero_shot,0.9706666666666667,classify_lora,0.51,,-0.028846153846153872
code_easy,code_hard,code_hard,0.548,0.76,zero_shot,0.9293333333333333,classify_lora,0.516,,-0.2281205164992826
alpaca_easy,alpaca_hard,alpaca_hard,0.534,0.6506666666666666,zero_shot,0.9733333333333334,classify_lora,0.51,,-0.11986301369863005
alpaca_mmlu,raven_matrices,raven_matrices,0.51,0.7613333333333333,zero_shot,0.948,classify_lora,0.508,,-0.2651195499296765
alpaca_mmlu,ranking_logic,ranking_logic,0.51,0.6666666666666666,zero_shot,0.9946666666666667,classify_lora,0.508,,-0.15750670241286857
alpaca_low_quality,alpaca_high_quality,alpaca_high_quality,0.5093333333333334,0.12,zero_shot,0.9973333333333333,prompt_tuning,0.5700000000000001,,0.39037433155080226
alpaca_short,alpaca_long,alpaca_mmlu,0.576,0.044,zero_shot,0.8826666666666667,classify_lora,0.5720000000000001,,0.6027190332326283
alpaca_mmlu,wrong_arc,wrong_arc,0.518,0.16,zero_shot,0.952,classify_lora,0.508,,0.3760504201680672
alpaca_mmlu,truthful_qa,truthful_qa,0.636,0.4013333333333333,zero_shot,0.9386666666666666,classify_lora,0.508,,0.25000000000000006
alpaca_mmlu,sycophancy_mimicry,quote_attribution,0.602,0.5,zero_shot,0.968,classify_lora,0.508,,0.10537190082644626
alpaca_mmlu,survival_influence,survival_influence,0.544,0.336,zero_shot,1.0,mms,0.508,,0.20800000000000002
alpaca_mmlu,reward_seeking,reward_seeking,0.5053333333333334,0.48,zero_shot,0.9186666666666666,classify_lora,0.508,,0.027576197387518247
