source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
alpaca_easy,alpaca_hard,alpaca_hard,0.534,0.6506666666666666,zero_shot,0.9733333333333334,classify_lora,0.51,,-0.11986301369863005
arc_easy,arc_hard,arc_hard,0.524,0.608,zero_shot,0.8826666666666667,classify_lora,0.516,,-0.09516616314199391
math_easy,math_hard,math_hard,0.554,0.828,zero_shot,0.884,classify_lora,0.504,,-0.3099547511312216
code_easy,code_hard,code_hard,0.548,0.76,zero_shot,0.9293333333333333,classify_lora,0.516,,-0.2281205164992826
ranking_logic_easy,ranking_logic_hard,ranking_logic_hard,0.51,0.6546666666666666,zero_shot,0.9933333333333333,classify_lora,0.502,,-0.1456375838926174
raven_easy,raven_matrices,raven_matrices,0.532,0.7613333333333333,zero_shot,0.948,classify_lora,0.634,,-0.24191279887482414
alpaca_mmlu,spanish_input,spanish_input,0.534,0.692,zero_shot,0.848,classify_lora,0.508,,-0.18632075471698104
alpaca_mmlu,spanish_output,spanish_output,0.504,0.6746666666666666,zero_shot,0.836,classify_lora,0.508,,-0.2041467304625199
alpaca_mmlu,comma_separated_input,comma_separated_input,0.506,0.676,zero_shot,0.8533333333333334,classify_lora,0.508,,-0.19921875000000003
alpaca_mmlu,comma_separated_output,comma_separated_output,0.52,0.7,zero_shot,0.8786666666666667,classify_lora,0.508,,-0.2048558421851289
alpaca_mmlu,ranking_logic,ranking_logic,0.51,0.6666666666666666,zero_shot,0.9946666666666667,classify_lora,0.508,,-0.15750670241286857
alpaca_mmlu,raven_matrices,raven_matrices,0.51,0.7613333333333333,zero_shot,0.948,classify_lora,0.508,,-0.2651195499296765
alpaca_mmlu,word_swap,word_swap,0.514,0.7746666666666666,zero_shot,0.976,classify_lora,0.508,,-0.2670765027322404
code,counterfactual_python,counterfactual_python,0.502,0.756,zero_shot,0.884,classify_lora,0.536,,-0.2873303167420814
code,us_history,us_history,0.536,0.668,zero_shot,0.9706666666666667,classify_lora,0.536,,-0.135989010989011
code,change_my_view,change_my_view,0.55,0.352,zero_shot,0.764,prompt_tuning,0.536,,0.25916230366492155
cooking,math,math,0.506,0.8626666666666667,zero_shot,0.9186666666666666,classify_lora,0.526,,-0.3882438316400581
cooking,raven_matrices,raven_matrices,0.538,0.7613333333333333,zero_shot,0.948,classify_lora,0.526,,-0.2355836849507735
math,change_my_view,change_my_view,0.53,0.352,zero_shot,0.764,prompt_tuning,0.518,,0.23298429319371733
math,cooking,cooking,0.558,0.9306666666666666,zero_shot,0.9853333333333333,classify_lora,0.518,,-0.3782138024357239
change_my_view,raven_matrices,raven_matrices,0.522,0.7613333333333333,zero_shot,0.948,classify_lora,0.516,,-0.25246132208157523
change_my_view,cooking,cooking,0.508,0.9306666666666666,zero_shot,0.9853333333333333,classify_lora,0.516,,-0.428958051420839
raven_matrices,us_history,us_history,0.64,0.668,zero_shot,0.9706666666666667,classify_lora,0.51,,-0.028846153846153872
raven_matrices,code,code,0.518,0.908,zero_shot,0.9626666666666667,classify_lora,0.51,,-0.4051246537396122
us_history,math,math,0.51,0.8626666666666667,zero_shot,0.9186666666666666,classify_lora,0.54,,-0.38388969521044997
us_history,code,code,0.512,0.908,zero_shot,0.9626666666666667,classify_lora,0.54,,-0.4113573407202216
