source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
us_history_textbook,us_history_fiction,us_history_fiction,0.92,0.7146666666666667,zero_shot,0.9973333333333333,classify_lora,0.9613333333333334,0.32351350533361617,0.20588235294117652
alpaca_mmlu,spanish_output,spanish_output,0.744,0.6746666666666666,zero_shot,0.836,classify_lora,0.8106666666666666,0.29526806642188574,0.08293460925039876
math,change_my_view,change_my_view,0.596,0.352,zero_shot,0.764,prompt_tuning,0.6986666666666667,0.2782261870307324,0.3193717277486911
raven_matrices,us_history,us_history,0.8173333333333334,0.668,zero_shot,0.9706666666666667,classify_lora,0.6986666666666667,0.10810407391582301,0.15384615384615383
code_easy,code_hard,code_hard,0.7333333333333333,0.76,zero_shot,0.9293333333333333,classify_lora,0.9333333333333333,0.2700450224203482,-0.0286944045911048
alpaca_easy,alpaca_hard,alpaca_hard,0.732,0.6506666666666666,zero_shot,0.9733333333333334,classify_lora,0.9253333333333333,0.29562819900705584,0.08356164383561647
alpaca_mmlu,raven_matrices,raven_matrices,0.6653333333333333,0.7613333333333333,zero_shot,0.948,classify_lora,0.8106666666666666,0.2753293537872631,-0.10126582278481011
alpaca_mmlu,ranking_logic,ranking_logic,0.5506666666666666,0.6666666666666666,zero_shot,0.9946666666666667,classify_lora,0.8106666666666666,0.2655632139365492,-0.11662198391420911
alpaca_low_quality,alpaca_high_quality,alpaca_high_quality,0.196,0.12,zero_shot,0.9973333333333333,prompt_tuning,0.996,0.3290546635242395,0.07620320855614975
alpaca_short,alpaca_long,alpaca_mmlu,0.028,0.044,zero_shot,0.8826666666666667,classify_lora,0.968,0.49524747119682533,-0.018126888217522653
alpaca_mmlu,wrong_arc,wrong_arc,0.376,0.16,zero_shot,0.952,classify_lora,0.8106666666666666,0.2775573173822554,0.226890756302521
alpaca_mmlu,truthful_qa,truthful_qa,0.44133333333333336,0.4013333333333333,zero_shot,0.9386666666666666,classify_lora,0.8106666666666666,0.29098858177499065,0.0426136363636364
alpaca_mmlu,sycophancy_mimicry,quote_attribution,0.324,0.5,zero_shot,0.968,classify_lora,0.8106666666666666,0.27993179968661386,-0.18181818181818182
alpaca_mmlu,survival_influence,survival_influence,0.436,0.336,zero_shot,1.0,mms,0.8106666666666666,0.2901868048383293,0.09999999999999998
alpaca_mmlu,reward_seeking,reward_seeking,0.456,0.48,zero_shot,0.9186666666666666,classify_lora,0.8106666666666666,0.2742843711004284,-0.02612481857764873
