source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
alpaca_easy,alpaca_hard,alpaca_hard,0.732,0.6506666666666666,zero_shot,0.9733333333333334,classify_lora,0.9253333333333333,0.29562819900705584,0.08356164383561647
arc_easy,arc_hard,arc_hard,0.6973333333333334,0.608,zero_shot,0.8826666666666667,classify_lora,0.8226666666666667,0.29237768383621265,0.10120845921450156
math_easy,math_hard,math_hard,0.6213333333333333,0.828,zero_shot,0.884,classify_lora,0.66,0.2678587765901153,-0.23378582202111614
code_easy,code_hard,code_hard,0.7333333333333333,0.76,zero_shot,0.9293333333333333,classify_lora,0.9333333333333333,0.2700450224203482,-0.0286944045911048
ranking_logic_easy,ranking_logic_hard,ranking_logic_hard,0.568,0.6546666666666666,zero_shot,0.9933333333333333,classify_lora,0.656,0.1404059218377948,-0.08724832214765102
raven_easy,raven_matrices,raven_matrices,0.508,0.7613333333333333,zero_shot,0.948,classify_lora,0.7266666666666667,0.09985771127998656,-0.2672292545710267
alpaca_mmlu,spanish_input,spanish_input,0.7133333333333334,0.692,zero_shot,0.848,classify_lora,0.8106666666666666,0.2957491926239838,0.025157232704402625
alpaca_mmlu,spanish_output,spanish_output,0.744,0.6746666666666666,zero_shot,0.836,classify_lora,0.8106666666666666,0.29526806642188574,0.08293460925039876
alpaca_mmlu,comma_separated_input,comma_separated_input,0.7506666666666667,0.676,zero_shot,0.8533333333333334,classify_lora,0.8106666666666666,0.29102202841633745,0.08749999999999998
alpaca_mmlu,comma_separated_output,comma_separated_output,0.76,0.7,zero_shot,0.8786666666666667,classify_lora,0.8106666666666666,0.29441329162710156,0.06828528072837639
alpaca_mmlu,ranking_logic,ranking_logic,0.5506666666666666,0.6666666666666666,zero_shot,0.9946666666666667,classify_lora,0.8106666666666666,0.2655632139365492,-0.11662198391420911
alpaca_mmlu,raven_matrices,raven_matrices,0.6653333333333333,0.7613333333333333,zero_shot,0.948,classify_lora,0.8106666666666666,0.2753293537872631,-0.10126582278481011
alpaca_mmlu,word_swap,word_swap,0.8533333333333334,0.7746666666666666,zero_shot,0.976,classify_lora,0.8106666666666666,0.31162212326840005,0.08060109289617498
code,counterfactual_python,counterfactual_python,0.7346666666666667,0.756,zero_shot,0.884,classify_lora,0.852,0.28794436410181196,-0.024132730015082936
code,us_history,us_history,0.916,0.668,zero_shot,0.9706666666666667,classify_lora,0.852,0.30420525786951774,0.2554945054945055
code,change_my_view,change_my_view,0.672,0.352,zero_shot,0.764,prompt_tuning,0.852,0.2941197320187557,0.41884816753926707
cooking,math,math,0.6493333333333333,0.8626666666666667,zero_shot,0.9186666666666666,classify_lora,0.8626666666666667,0.30202605640197994,-0.2322206095791002
cooking,raven_matrices,raven_matrices,0.6,0.7613333333333333,zero_shot,0.948,classify_lora,0.8626666666666667,0.29531989049966056,-0.170182841068917
math,change_my_view,change_my_view,0.596,0.352,zero_shot,0.764,prompt_tuning,0.6986666666666667,0.2782261870307324,0.3193717277486911
math,cooking,cooking,0.692,0.9306666666666666,zero_shot,0.9853333333333333,classify_lora,0.6986666666666667,0.25453739679019716,-0.24221921515561573
change_my_view,raven_matrices,raven_matrices,0.49733333333333335,0.7613333333333333,zero_shot,0.948,classify_lora,0.676,0.0003311443772984757,-0.27848101265822783
