source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
alpaca_easy,alpaca_hard,alpaca_hard,0.8266666666666667,0.6506666666666666,zero_shot,0.9733333333333334,classify_lora,0.9786666666666667,0.308590825576617,0.1808219178082192
arc_easy,arc_hard,arc_hard,0.8733333333333333,0.608,zero_shot,0.8826666666666667,classify_lora,0.9533333333333334,0.40481636307812247,0.3006042296072507
math_easy,math_hard,math_hard,0.8493333333333334,0.828,zero_shot,0.884,classify_lora,0.9813333333333333,0.3211818428572272,0.02413273001508306
code_easy,code_hard,code_hard,0.7026666666666667,0.76,zero_shot,0.9293333333333333,classify_lora,0.9733333333333334,0.315963724344855,-0.06169296987087519
ranking_logic_easy,ranking_logic_hard,ranking_logic_hard,0.8026666666666666,0.6546666666666666,zero_shot,0.9933333333333333,classify_lora,1.0,0.3141235158538477,0.14899328859060407
raven_easy,raven_matrices,raven_matrices,0.7533333333333333,0.7613333333333333,zero_shot,0.948,classify_lora,0.9426666666666667,0.2858674295111729,-0.008438818565400852
alpaca_mmlu,spanish_input,spanish_input,0.824,0.692,zero_shot,0.848,classify_lora,0.8746666666666667,0.3229708645410657,0.1556603773584906
alpaca_mmlu,spanish_output,spanish_output,0.7973333333333333,0.6746666666666666,zero_shot,0.836,classify_lora,0.8746666666666667,0.32186252950716465,0.14673046251993624
alpaca_mmlu,comma_separated_input,comma_separated_input,0.8346666666666667,0.676,zero_shot,0.8533333333333334,classify_lora,0.8746666666666667,0.3241393286586065,0.18593749999999995
alpaca_mmlu,comma_separated_output,comma_separated_output,0.852,0.7,zero_shot,0.8786666666666667,classify_lora,0.8746666666666667,0.3263391496338769,0.17298937784522006
alpaca_mmlu,ranking_logic,ranking_logic,0.708,0.6666666666666666,zero_shot,0.9946666666666667,classify_lora,0.8746666666666667,0.3128842941103978,0.04155495978552279
alpaca_mmlu,raven_matrices,raven_matrices,0.6,0.7613333333333333,zero_shot,0.948,classify_lora,0.8746666666666667,0.3015026283205439,-0.170182841068917
alpaca_mmlu,word_swap,word_swap,0.8973333333333333,0.7746666666666666,zero_shot,0.976,classify_lora,0.8746666666666667,0.3280267187497987,0.12568306010928965
code,counterfactual_python,counterfactual_python,0.848,0.756,zero_shot,0.884,classify_lora,0.9626666666666667,0.3140858646405968,0.10407239819004521
code,us_history,us_history,0.88,0.668,zero_shot,0.9706666666666667,classify_lora,0.9626666666666667,0.32729330792034883,0.21840659340659338
code,change_my_view,change_my_view,0.64,0.352,zero_shot,0.764,prompt_tuning,0.9626666666666667,0.35794438417278907,0.3769633507853404
cooking,math,math,0.8693333333333333,0.8626666666666667,zero_shot,0.9186666666666666,classify_lora,0.9853333333333333,0.31421872047800803,0.007256894049346806
cooking,raven_matrices,raven_matrices,0.7426666666666667,0.7613333333333333,zero_shot,0.948,classify_lora,0.9853333333333333,0.29256714353157953,-0.019690576652601908
math,change_my_view,change_my_view,0.568,0.352,zero_shot,0.764,prompt_tuning,0.9186666666666666,0.312377054513937,0.2827225130890052
math,cooking,cooking,0.892,0.9306666666666666,zero_shot,0.9853333333333333,classify_lora,0.9186666666666666,0.312311507128844,-0.039242219215155576
