source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
us_history_textbook,us_history_fiction,us_history_fiction,0.964,0.7146666666666667,zero_shot,0.9973333333333333,classify_lora,0.9893333333333333,0.49779103506494005,0.24999999999999997
alpaca_mmlu,spanish_output,spanish_output,0.8053333333333333,0.6746666666666666,zero_shot,0.836,classify_lora,0.8533333333333334,0.303771681621838,0.15629984051036688
math,change_my_view,change_my_view,0.536,0.352,zero_shot,0.764,prompt_tuning,0.8893333333333333,0.13725339084317562,0.2408376963350786
raven_matrices,us_history,us_history,0.836,0.668,zero_shot,0.9706666666666667,classify_lora,0.776,0.15465396995299202,0.173076923076923
code_easy,code_hard,code_hard,0.676,0.76,zero_shot,0.9293333333333333,classify_lora,0.964,0.29652087163465013,-0.09038737446197988
alpaca_easy,alpaca_hard,alpaca_hard,0.8066666666666666,0.6506666666666666,zero_shot,0.9733333333333334,classify_lora,0.9426666666666667,0.3071289179495558,0.16027397260273973
alpaca_mmlu,raven_matrices,raven_matrices,0.6853333333333333,0.7613333333333333,zero_shot,0.948,classify_lora,0.8533333333333334,0.2828079071504941,-0.08016877637130798
alpaca_mmlu,ranking_logic,ranking_logic,0.6773333333333333,0.6666666666666666,zero_shot,0.9946666666666667,classify_lora,0.8533333333333334,0.2787852342288557,0.01072386058981238
alpaca_low_quality,alpaca_high_quality,alpaca_high_quality,0.33866666666666667,0.12,zero_shot,0.9973333333333333,prompt_tuning,1.0,0.49247262875465453,0.21925133689839574
alpaca_short,alpaca_long,alpaca_mmlu,0.596,0.044,zero_shot,0.8826666666666667,classify_lora,0.92,0.31772700329414116,0.6253776435045316
alpaca_mmlu,wrong_arc,wrong_arc,0.084,0.16,zero_shot,0.952,classify_lora,0.8533333333333334,0.4486782596639328,-0.07983193277310925
alpaca_mmlu,truthful_qa,truthful_qa,0.5453333333333333,0.4013333333333333,zero_shot,0.9386666666666666,classify_lora,0.8533333333333334,0.2905422308988881,0.15340909090909094
alpaca_mmlu,sycophancy_mimicry,quote_attribution,0.724,0.5,zero_shot,0.968,classify_lora,0.8533333333333334,0.1643705714141865,0.23140495867768593
alpaca_mmlu,survival_influence,survival_influence,0.536,0.336,zero_shot,1.0,mms,0.8533333333333334,0.2659618168143426,0.2
alpaca_mmlu,reward_seeking,reward_seeking,0.48933333333333334,0.48,zero_shot,0.9186666666666666,classify_lora,0.8533333333333334,0.27857017281854174,0.01015965166908566
