source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
us_history_textbook,us_history_fiction,us_history_fiction,0.9373333333333334,0.7146666666666667,zero_shot,0.9973333333333333,classify_lora,0.9813333333333333,0.36802272344054054,0.22326203208556153
alpaca_mmlu,spanish_output,spanish_output,0.6293333333333333,0.6746666666666666,zero_shot,0.836,classify_lora,0.6986666666666667,0.3020331815324364,-0.054226475279106866
math,change_my_view,change_my_view,0.644,0.352,zero_shot,0.764,prompt_tuning,0.7293333333333333,0.4749695214754513,0.3821989528795812
raven_matrices,us_history,us_history,0.7146666666666667,0.668,zero_shot,0.9706666666666667,classify_lora,0.8773333333333333,0.3096394411807077,0.048076923076923045
code_easy,code_hard,code_hard,0.6493333333333333,0.76,zero_shot,0.9293333333333333,classify_lora,0.96,0.3045070931297283,-0.11908177905308467
alpaca_easy,alpaca_hard,alpaca_hard,0.6586666666666666,0.6506666666666666,zero_shot,0.9733333333333334,classify_lora,0.9253333333333333,0.3113898482859444,0.008219178082191787
alpaca_mmlu,raven_matrices,raven_matrices,0.5493333333333333,0.7613333333333333,zero_shot,0.948,classify_lora,0.6986666666666667,0.2655180263948451,-0.22362869198312235
alpaca_mmlu,ranking_logic,ranking_logic,0.47333333333333333,0.6666666666666666,zero_shot,0.9946666666666667,classify_lora,0.6986666666666667,0.2497467391813235,-0.1943699731903485
alpaca_low_quality,alpaca_high_quality,alpaca_high_quality,0.236,0.12,zero_shot,0.9973333333333333,prompt_tuning,0.992,0.3284824834467457,0.11631016042780748
alpaca_short,alpaca_long,alpaca_mmlu,0.0,0.044,zero_shot,0.8826666666666667,classify_lora,1.0,0.4319998587149161,-0.049848942598187305
alpaca_mmlu,wrong_arc,wrong_arc,0.256,0.16,zero_shot,0.952,classify_lora,0.6986666666666667,0.31219332631336005,0.10084033613445378
alpaca_mmlu,truthful_qa,truthful_qa,0.492,0.4013333333333333,zero_shot,0.9386666666666666,classify_lora,0.6986666666666667,0.31283713393282936,0.0965909090909091
alpaca_mmlu,sycophancy_mimicry,quote_attribution,0.136,0.5,zero_shot,0.968,classify_lora,0.6986666666666667,0.35449645441706956,-0.3760330578512397
alpaca_mmlu,survival_influence,survival_influence,0.444,0.336,zero_shot,1.0,mms,0.6986666666666667,0.30968852855648726,0.10799999999999998
alpaca_mmlu,reward_seeking,reward_seeking,0.488,0.48,zero_shot,0.9186666666666666,classify_lora,0.6986666666666667,0.29972904206697243,0.008708272859216264
