source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
alpaca_easy,alpaca_hard,alpaca_hard,0.6586666666666666,0.6506666666666666,zero_shot,0.9733333333333334,classify_lora,0.9253333333333333,0.3113898482859444,0.008219178082191787
arc_easy,arc_hard,arc_hard,0.7066666666666667,0.608,zero_shot,0.8826666666666667,classify_lora,0.8893333333333333,0.3129171459969084,0.11178247734138974
math_easy,math_hard,math_hard,0.6973333333333334,0.828,zero_shot,0.884,classify_lora,0.7826666666666666,0.2788893093298023,-0.14781297134238303
code_easy,code_hard,code_hard,0.6493333333333333,0.76,zero_shot,0.9293333333333333,classify_lora,0.96,0.3045070931297283,-0.11908177905308467
ranking_logic_easy,ranking_logic_hard,ranking_logic_hard,0.8053333333333333,0.6546666666666666,zero_shot,0.9933333333333333,classify_lora,1.0,0.3271630254909008,0.15167785234899336
raven_easy,raven_matrices,raven_matrices,0.6373333333333333,0.7613333333333333,zero_shot,0.948,classify_lora,0.9253333333333333,0.29119111050080504,-0.1308016877637131
alpaca_mmlu,spanish_input,spanish_input,0.716,0.692,zero_shot,0.848,classify_lora,0.6986666666666667,0.30473498847288205,0.028301886792452855
alpaca_mmlu,spanish_output,spanish_output,0.6293333333333333,0.6746666666666666,zero_shot,0.836,classify_lora,0.6986666666666667,0.3020331815324364,-0.054226475279106866
alpaca_mmlu,comma_separated_input,comma_separated_input,0.6213333333333333,0.676,zero_shot,0.8533333333333334,classify_lora,0.6986666666666667,0.27750922388945276,-0.06406250000000009
alpaca_mmlu,comma_separated_output,comma_separated_output,0.7226666666666667,0.7,zero_shot,0.8786666666666667,classify_lora,0.6986666666666667,0.2990680899191551,0.02579666160849779
alpaca_mmlu,ranking_logic,ranking_logic,0.47333333333333333,0.6666666666666666,zero_shot,0.9946666666666667,classify_lora,0.6986666666666667,0.2497467391813235,-0.1943699731903485
alpaca_mmlu,raven_matrices,raven_matrices,0.5493333333333333,0.7613333333333333,zero_shot,0.948,classify_lora,0.6986666666666667,0.2655180263948451,-0.22362869198312235
alpaca_mmlu,word_swap,word_swap,0.824,0.7746666666666666,zero_shot,0.976,classify_lora,0.6986666666666667,0.3116594549617697,0.0505464480874317
code,counterfactual_python,counterfactual_python,0.808,0.756,zero_shot,0.884,classify_lora,0.9253333333333333,0.30928039499382265,0.05882352941176476
code,us_history,us_history,0.8786666666666667,0.668,zero_shot,0.9706666666666667,classify_lora,0.9253333333333333,0.32354934419166825,0.21703296703296704
