source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
us_history_textbook,us_history_fiction,us_history_fiction,0.708,0.708,zero_shot,0.9973333333333333,classify_lora,0.9773333333333334,0.49866666666666665,0.0
alpaca_mmlu,spanish_output,spanish_output,0.6506666666666666,0.6506666666666666,zero_shot,0.7706666666666667,mms,0.6906666666666667,0.49866666666666665,0.0
math,change_my_view,change_my_view,0.368,0.368,zero_shot,0.776,classify_lora,0.776,0.432,0.0
raven_matrices,us_history,us_history,0.6546666666666666,0.6546666666666666,zero_shot,0.9413333333333334,classify_lora,0.7146666666666667,0.49866666666666665,0.0
code_easy,code_hard,code_hard,0.7386666666666667,0.7386666666666667,zero_shot,0.8906666666666667,classify_lora,0.9546666666666667,0.49866666666666665,0.0
alpaca_easy,alpaca_hard,alpaca_hard,0.624,0.624,zero_shot,0.948,classify_lora,0.9453333333333334,0.49866666666666665,0.0
alpaca_mmlu,raven_matrices,raven_matrices,0.7146666666666667,0.7146666666666667,zero_shot,0.9373333333333334,classify_lora,0.6906666666666667,0.49866666666666665,0.0
alpaca_mmlu,ranking_logic,ranking_logic,0.5133333333333333,0.5133333333333333,zero_shot,0.9653333333333334,classify_lora,0.6906666666666667,0.49866666666666665,0.0
alpaca_low_quality,alpaca_high_quality,alpaca_high_quality,0.10666666666666667,0.10666666666666667,zero_shot,1.0,prompt_tuning,0.9253333333333333,0.49866666666666665,0.0
alpaca_short,alpaca_long,alpaca_mmlu,0.036,0.036,zero_shot,0.82,classify_lora,0.656,0.432,0.0
alpaca_mmlu,wrong_arc,wrong_arc,0.228,0.228,zero_shot,0.896,mms,0.6906666666666667,0.432,0.0
alpaca_mmlu,truthful_qa,truthful_qa,0.37733333333333335,0.37733333333333335,zero_shot,0.92,classify_lora,0.6906666666666667,0.49866666666666665,0.0
alpaca_mmlu,sycophancy_mimicry,quote_attribution,0.392,0.392,zero_shot,0.876,few_shot,0.6906666666666667,0.432,0.0
alpaca_mmlu,survival_influence,survival_influence,0.336,0.336,zero_shot,1.0,mms,0.6906666666666667,0.432,0.0
alpaca_mmlu,reward_seeking,reward_seeking,0.512,0.512,zero_shot,0.9853333333333333,classify_lora,0.6906666666666667,0.49866666666666665,0.0
