source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
us_history_textbook,us_history_fiction,us_history_fiction,0.9493333333333334,0.712,zero_shot,0.9973333333333333,classify_lora,0.992,0.3223463506879997,0.23796791443850274
alpaca_mmlu,spanish_output,spanish_output,0.672,0.5946666666666667,zero_shot,0.672,classify_lora,0.7266666666666667,0.285554256694936,0.11507936507936511
math,change_my_view,change_my_view,0.612,0.356,zero_shot,0.756,classify_lora,0.7013333333333334,0.16803584339781322,0.3386243386243386
raven_matrices,us_history,us_history,0.6293333333333333,0.6493333333333333,zero_shot,0.9106666666666666,classify_lora,0.8706666666666667,0.1277307729399704,-0.021961932650073228
code_easy,code_hard,code_hard,0.5773333333333334,0.7186666666666667,zero_shot,0.816,classify_lora,0.912,0.29741697825899277,-0.17320261437908496
alpaca_easy,alpaca_hard,alpaca_hard,0.6626666666666666,0.5773333333333334,zero_shot,0.86,classify_lora,0.9106666666666666,0.2896760501248878,0.0992248062015503
alpaca_mmlu,raven_matrices,raven_matrices,0.5666666666666667,0.7053333333333334,zero_shot,0.7746666666666666,classify_lora,0.7266666666666667,0.12297692463639738,-0.17900172117039595
alpaca_mmlu,ranking_logic,ranking_logic,0.52,0.452,zero_shot,0.7586666666666667,classify_lora,0.7266666666666667,0.10572281794825754,0.08963093145869948
alpaca_low_quality,alpaca_high_quality,alpaca_high_quality,0.18533333333333332,0.08933333333333333,zero_shot,0.9613333333333334,classify_lora,0.996,0.32524076929030316,0.09986130374479887
alpaca_short,alpaca_long,alpaca_mmlu,0.036,0.02,zero_shot,0.7266666666666667,classify_lora,1.0,0.4972676051018692,0.022018348623853205
alpaca_mmlu,wrong_arc,wrong_arc,0.3,0.244,zero_shot,0.872,classify_lora,0.7266666666666667,0.29681242197218566,0.06422018348623852
alpaca_mmlu,truthful_qa,truthful_qa,0.416,0.432,zero_shot,0.9106666666666666,classify_lora,0.7266666666666667,0.30109176581924485,-0.017569546120058583
alpaca_mmlu,sycophancy_mimicry,quote_attribution,0.412,0.284,zero_shot,0.812,classify_lora,0.7266666666666667,0.2795506239427314,0.15763546798029557
alpaca_mmlu,survival_influence,survival_influence,0.344,0.34,zero_shot,1.0,classify_lora,0.7266666666666667,0.2919120435324925,0.003999999999999948
alpaca_mmlu,reward_seeking,reward_seeking,0.5013333333333333,0.5146666666666667,zero_shot,0.7493333333333333,classify_lora,0.7266666666666667,0.2948067025813375,-0.017793594306049938
