source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
alpaca_easy,alpaca_hard,alpaca_hard,0.6626666666666666,0.5773333333333334,zero_shot,0.86,classify_lora,0.9106666666666666,0.2896760501248878,0.0992248062015503
arc_easy,arc_hard,arc_hard,0.6893333333333334,0.54,zero_shot,0.6893333333333334,classify_lora,0.84,0.30757044697990815,0.21663442940038682
math_easy,math_hard,math_hard,0.688,0.6506666666666666,zero_shot,0.708,classify_lora,0.724,0.12851747185264054,0.052730696798493404
code_easy,code_hard,code_hard,0.5773333333333334,0.7186666666666667,zero_shot,0.816,classify_lora,0.912,0.29741697825899277,-0.17320261437908496
ranking_logic_easy,ranking_logic_hard,ranking_logic_hard,0.8133333333333334,0.4573333333333333,zero_shot,0.8133333333333334,classify_lora,1.0,0.32972027951271976,0.43770491803278694
raven_easy,raven_matrices,raven_matrices,0.5546666666666666,0.7053333333333334,zero_shot,0.7746666666666666,classify_lora,0.8973333333333333,0.12278860467900929,-0.19449225473321868
alpaca_mmlu,spanish_input,spanish_input,0.7066666666666667,0.62,zero_shot,0.752,classify_lora,0.7266666666666667,0.2835793125249025,0.11524822695035461
alpaca_mmlu,spanish_output,spanish_output,0.672,0.5946666666666667,zero_shot,0.672,classify_lora,0.7266666666666667,0.285554256694936,0.11507936507936511
alpaca_mmlu,comma_separated_input,comma_separated_input,0.684,0.596,zero_shot,0.7386666666666667,classify_lora,0.7266666666666667,0.2687739347943267,0.11913357400722031
alpaca_mmlu,comma_separated_output,comma_separated_output,0.684,0.612,zero_shot,0.764,classify_lora,0.7266666666666667,0.2783349060150565,0.09424083769633516
alpaca_mmlu,ranking_logic,ranking_logic,0.52,0.452,zero_shot,0.7586666666666667,classify_lora,0.7266666666666667,0.10572281794825754,0.08963093145869948
alpaca_mmlu,raven_matrices,raven_matrices,0.5666666666666667,0.7053333333333334,zero_shot,0.7746666666666666,classify_lora,0.7266666666666667,0.12297692463639738,-0.17900172117039595
alpaca_mmlu,word_swap,word_swap,0.784,0.724,zero_shot,0.856,classify_lora,0.7266666666666667,0.29331114729893915,0.0700934579439253
code,counterfactual_python,counterfactual_python,0.7626666666666667,0.728,zero_shot,0.7626666666666667,classify_lora,0.8546666666666667,0.30026082634992207,0.04545454545454554
code,us_history,us_history,0.7186666666666667,0.6493333333333333,zero_shot,0.9106666666666666,classify_lora,0.8546666666666667,0.1313698743920595,0.07613469985358715
code,change_my_view,change_my_view,0.512,0.356,zero_shot,0.756,classify_lora,0.8546666666666667,0.15630765665746343,0.2063492063492064
cooking,math,math,0.568,0.6773333333333333,zero_shot,0.7013333333333334,classify_lora,0.9373333333333334,0.22439893355538815,-0.1558935361216731
cooking,raven_matrices,raven_matrices,0.56,0.7053333333333334,zero_shot,0.7746666666666666,classify_lora,0.9373333333333334,0.1265495562031267,-0.1876075731497418
math,change_my_view,change_my_view,0.612,0.356,zero_shot,0.756,classify_lora,0.7013333333333334,0.16803584339781322,0.3386243386243386
math,cooking,cooking,0.4826666666666667,0.8706666666666667,zero_shot,0.9373333333333334,classify_lora,0.7013333333333334,0.13444184842619666,-0.4139402560455192
change_my_view,raven_matrices,raven_matrices,0.5173333333333333,0.7053333333333334,zero_shot,0.7746666666666666,classify_lora,0.756,0.0003349666638475801,-0.24268502581755602
change_my_view,cooking,cooking,0.596,0.8706666666666667,zero_shot,0.9373333333333334,classify_lora,0.756,0.11538115620901293,-0.29302987197724045
raven_matrices,us_history,us_history,0.6293333333333333,0.6493333333333333,zero_shot,0.9106666666666666,classify_lora,0.8706666666666667,0.1277307729399704,-0.021961932650073228
raven_matrices,code,code,0.6853333333333333,0.852,zero_shot,0.8573333333333333,classify_lora,0.8706666666666667,0.2891666755417864,-0.19440124416796264
us_history,math,math,0.576,0.6773333333333333,zero_shot,0.7013333333333334,classify_lora,0.9373333333333334,0.12757900893978447,-0.1444866920152092
us_history,code,code,0.6386666666666667,0.852,zero_shot,0.8573333333333333,classify_lora,0.9373333333333334,0.2963206706854055,-0.24883359253499215
us_history,us_history_textbook,us_history_textbook,0.9666666666666667,0.9746666666666667,zero_shot,0.992,classify_lora,0.9373333333333334,0.32596078933124845,-0.008064516129032265
us_history_textbook,us_history_fiction,us_history_fiction,0.9493333333333334,0.712,zero_shot,0.9973333333333333,classify_lora,0.992,0.3223463506879997,0.23796791443850274
us_history_fiction,us_history_make_questions,us_history_make_questions,0.856,0.3506666666666667,zero_shot,1.0,classify_lora,0.9973333333333333,0.29527655692092375,0.5053333333333333
us_history_make_questions,us_history,us_history,0.8693333333333333,0.6493333333333333,zero_shot,0.9106666666666666,classify_lora,1.0,0.28222484686004173,0.24158125915080525
math,math_fiction,math_fiction,0.46266666666666667,0.8573333333333333,zero_shot,0.8573333333333333,zero_shot,0.7013333333333334,0.14035285733652914,-0.46034214618973557
math_fiction,math_textbook,math_textbook,0.6573333333333333,0.8093333333333333,zero_shot,0.8093333333333333,zero_shot,0.832,0.2946138529921181,-0.18780889621087318
math_textbook,math_make_questions,math_make_questions,0.6333333333333333,0.8533333333333334,zero_shot,0.8653333333333333,classify_lora,0.6506666666666666,0.2878707237194835,-0.2542372881355933
math_make_questions,math,math,0.62,0.6773333333333333,zero_shot,0.7013333333333334,classify_lora,0.8653333333333333,0.2769026682171651,-0.08174904942965781
alpaca_low_quality,alpaca_high_quality,alpaca_high_quality,0.18533333333333332,0.08933333333333333,zero_shot,0.9613333333333334,classify_lora,0.996,0.32524076929030316,0.09986130374479887
shp_low_quality,shp_high_quality,shp_high_quality,0.452,0.46,zero_shot,0.608,classify_lora,0.608,0.29903736962144967,-0.013157894736842117
code_low_quality,code,code,0.6653333333333333,0.852,zero_shot,0.8573333333333333,classify_lora,0.994,0.29408336081814174,-0.21772939346811818
alpaca_mmlu,truthful_qa,truthful_qa,0.416,0.432,zero_shot,0.9106666666666666,classify_lora,0.7266666666666667,0.30109176581924485,-0.017569546120058583
alpaca_mmlu,personality_traits,personality_traits,0.506,0.506,zero_shot,0.992,classify_lora,0.7266666666666667,0.42398728976801525,0.0
alpaca_mmlu,survival_influence,survival_influence,0.344,0.34,zero_shot,1.0,classify_lora,0.7266666666666667,0.2919120435324925,0.003999999999999948
alpaca_mmlu,gender_bias,gender_bias,0.996,0.008,zero_shot,1.0,classify_lora,0.7266666666666667,0.2886718785631826,0.988
