source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
us_history_textbook,us_history_fiction,us_history_fiction,0.712,0.712,zero_shot,0.9973333333333333,classify_lora,0.9746666666666667,0.00020329363980603476,0.0
alpaca_mmlu,spanish_output,spanish_output,0.5946666666666667,0.5946666666666667,zero_shot,0.672,classify_lora,0.6653333333333333,0.002726673104888,0.0
math,change_my_view,change_my_view,0.356,0.356,zero_shot,0.756,classify_lora,0.6773333333333333,0.15193648246815314,0.0
raven_matrices,us_history,us_history,0.6493333333333333,0.6493333333333333,zero_shot,0.9106666666666666,classify_lora,0.7053333333333334,0.09769978776219478,0.0
code_easy,code_hard,code_hard,0.7186666666666667,0.7186666666666667,zero_shot,0.816,classify_lora,0.9106666666666666,0.0005820668041037758,0.0
alpaca_easy,alpaca_hard,alpaca_hard,0.5773333333333334,0.5773333333333334,zero_shot,0.86,classify_lora,0.9133333333333333,0.0010214958743772207,0.0
alpaca_mmlu,raven_matrices,raven_matrices,0.7053333333333334,0.7053333333333334,zero_shot,0.7746666666666666,classify_lora,0.6653333333333333,0.0015380365053812572,0.0
alpaca_mmlu,ranking_logic,ranking_logic,0.452,0.452,zero_shot,0.7586666666666667,classify_lora,0.6653333333333333,0.001364531874656738,0.0
alpaca_low_quality,alpaca_high_quality,alpaca_high_quality,0.08933333333333333,0.08933333333333333,zero_shot,0.9613333333333334,classify_lora,0.924,0.17124746776214747,0.0
alpaca_short,alpaca_long,alpaca_mmlu,0.02,0.02,zero_shot,0.7266666666666667,classify_lora,0.68,0.17936892128606508,0.0
alpaca_mmlu,wrong_arc,wrong_arc,0.244,0.244,zero_shot,0.872,classify_lora,0.6653333333333333,0.06921156036853787,0.0
alpaca_mmlu,truthful_qa,truthful_qa,0.432,0.432,zero_shot,0.9106666666666666,classify_lora,0.6653333333333333,0.0009481092091286891,0.0
alpaca_mmlu,sycophancy_mimicry,quote_attribution,0.284,0.284,zero_shot,0.812,classify_lora,0.6653333333333333,0.06984857702255248,0.0
alpaca_mmlu,survival_influence,survival_influence,0.34,0.34,zero_shot,1.0,classify_lora,0.6653333333333333,0.06943005598059909,0.0
alpaca_mmlu,reward_seeking,reward_seeking,0.5146666666666667,0.5146666666666667,zero_shot,0.7493333333333333,classify_lora,0.6653333333333333,0.12237434817795631,0.0
