source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
alpaca_easy,alpaca_hard,alpaca_hard,0.5773333333333334,0.5773333333333334,zero_shot,0.86,classify_lora,0.9133333333333333,0.0010214958743772207,0.0
arc_easy,arc_hard,arc_hard,0.54,0.54,zero_shot,0.6893333333333334,classify_lora,0.7693333333333333,0.0011730129718780513,0.0
math_easy,math_hard,math_hard,0.6506666666666666,0.6506666666666666,zero_shot,0.708,classify_lora,0.7973333333333333,0.0010106232115017488,0.0
code_easy,code_hard,code_hard,0.7186666666666667,0.7186666666666667,zero_shot,0.816,classify_lora,0.9106666666666666,0.0005820668041037758,0.0
ranking_logic_easy,ranking_logic_hard,ranking_logic_hard,0.4573333333333333,0.4573333333333333,zero_shot,0.8133333333333334,classify_lora,0.5,0.001387431899706526,0.0
raven_easy,raven_matrices,raven_matrices,0.7053333333333334,0.7053333333333334,zero_shot,0.7746666666666666,classify_lora,0.8226666666666667,0.0015380365053812572,0.0
alpaca_mmlu,spanish_input,spanish_input,0.62,0.62,zero_shot,0.752,classify_lora,0.6653333333333333,0.0014944934222867468,0.0
alpaca_mmlu,spanish_output,spanish_output,0.5946666666666667,0.5946666666666667,zero_shot,0.672,classify_lora,0.6653333333333333,0.002726673104888,0.0
alpaca_mmlu,comma_separated_input,comma_separated_input,0.596,0.596,zero_shot,0.7386666666666667,classify_lora,0.6653333333333333,0.0014161846672834932,0.0
alpaca_mmlu,comma_separated_output,comma_separated_output,0.612,0.612,zero_shot,0.764,classify_lora,0.6653333333333333,0.002012877219377429,0.0
alpaca_mmlu,ranking_logic,ranking_logic,0.452,0.452,zero_shot,0.7586666666666667,classify_lora,0.6653333333333333,0.001364531874656738,0.0
alpaca_mmlu,raven_matrices,raven_matrices,0.7053333333333334,0.7053333333333334,zero_shot,0.7746666666666666,classify_lora,0.6653333333333333,0.0015380365053812572,0.0
alpaca_mmlu,word_swap,word_swap,0.724,0.724,zero_shot,0.856,classify_lora,0.6653333333333333,0.08720657453599058,0.0
code,counterfactual_python,counterfactual_python,0.728,0.728,zero_shot,0.7626666666666667,classify_lora,0.852,0.0002823842366536655,0.0
code,us_history,us_history,0.6493333333333333,0.6493333333333333,zero_shot,0.9106666666666666,classify_lora,0.852,0.09769978776219478,0.0
code,change_my_view,change_my_view,0.356,0.356,zero_shot,0.756,classify_lora,0.852,0.15193648246815314,0.0
cooking,math,math,0.6773333333333333,0.6773333333333333,zero_shot,0.7013333333333334,classify_lora,0.8706666666666667,0.0011617163779499284,0.0
cooking,raven_matrices,raven_matrices,0.7053333333333334,0.7053333333333334,zero_shot,0.7746666666666666,classify_lora,0.8706666666666667,0.0015380365053812572,0.0
math,change_my_view,change_my_view,0.356,0.356,zero_shot,0.756,classify_lora,0.6773333333333333,0.15193648246815314,0.0
math,cooking,cooking,0.8706666666666667,0.8706666666666667,zero_shot,0.9373333333333334,classify_lora,0.6773333333333333,0.1016015546583515,0.0
change_my_view,raven_matrices,raven_matrices,0.7053333333333334,0.7053333333333334,zero_shot,0.7746666666666666,classify_lora,0.356,0.0015380365053812572,0.0
change_my_view,cooking,cooking,0.8706666666666667,0.8706666666666667,zero_shot,0.9373333333333334,classify_lora,0.356,0.1016015546583515,0.0
raven_matrices,us_history,us_history,0.6493333333333333,0.6493333333333333,zero_shot,0.9106666666666666,classify_lora,0.7053333333333334,0.09769978776219478,0.0
raven_matrices,code,code,0.852,0.852,zero_shot,0.8573333333333333,classify_lora,0.7053333333333334,0.0008263103961944629,0.0
